['Country', 'Schistosomiasis Control Initiative','Deworm the World','Against Malaria Foundation','Malaria Consortium'],
['Burkina Faso',0,,0,3052307],
['Burundi', 200000,0,,0],
['Côte d'Ivoire', 1070000,0,,0],
['Democratic Republic of Congo', 340000,0,4176371,0],
['Ethiopia', 1220000,44992,0,0],
['Guinea',0,,0,1059995],
['India',0,2227764,0,0],
['Kenya',0,1658238,0,0],
['Liberia', 70000,0,,0],
['Madagascar', 90000,0,,0],
['Malawi', 520000,0,4554015,0],
['Mali',0,,0,2831662],
['Mauritania',0,,0,0],
['Mozambique', 1250000,0,,0],
['Niger', 10000,0,,1488356],
['Nigeria',0,10870,0,3741732],
['Pakistan',0,1535,0,0],
['Rwanda', 340000,0,,0],
['Sudan', 370000,0,,0],
['Tanzania', 20000,0,,0],
['The Gambia',0,,0,524578],
['Tumikia',0,215890,0,0],
['Uganda', 100000,0,,0],
['Vietnam',0,91519,0,0],
['Yemen', 130000,0,,0],
['Zanzibar', 250000,0,,0],
['Zimbabwe',0,,0,0],
