Country, Schistosomiasis Control Initiative,Deworm the World,Against Malaria Foundation,Malaria Consortium
Burkina Faso,,,,3052307
Burundi, 200000,,,
Côte d'Ivoire, 1070000,,,
Democratic Republic of Congo, 340000,,4176371,
Ethiopia, 1220000,44992,,
Guinea,,,,1059995
India,,2227764,,
Kenya,,1658238,,
Liberia, 70000,,,
Madagascar, 90000,,,
Malawi, 520000,,4554015,
Mali,,,,2831662
Mauritania,,,,
Mozambique, 1250000,,,
Niger, 10000,,,1488356
Nigeria,,10870,,3741732
Pakistan,,1535,,
Rwanda, 340000,,,
Sudan, 370000,,,
Tanzania, 20000,,,
The Gambia,,,,524578
Tumikia,,215890,,
Uganda, 100000,,,
Vietnam,,91519,,
Yemen, 130000,,,
Zanzibar, 250000,,,
Zimbabwe,,,,
